,year,breed,dog,owner(s)
0,1907,Smooth Fox Terrier,Ch. Warren Remedy,Winthrop Rutherfurd
1,1908,Smooth Fox Terrier,Ch. Warren Remedy,Winthrop Rutherfurd
2,1909,Smooth Fox Terrier,Ch. Warren Remedy,Winthrop Rutherfurd
3,1910,Smooth Fox Terrier,Ch. Sabine Rarebit,Sabine Kennels
4,1911,Scottish Terrier,Ch. Tickle Em Jock,"A. Albright, Jr."
5,1912,Airedale Terrier,Ch. Kenmare Sorceress,William P. Wolcott
6,1913,Bulldog,Ch. Strathtay Prince Albert,Alex H. Stewart
7,1914,Old English Sheepdog,Ch. Slumber,Mrs. Tyler Morse
8,1915,Wire Fox Terrier,Ch. Matford Vic,George W. Quintard
9,1916,Wire Fox Terrier,Ch. Matford Vic,George W. Quintard
10,1917,Wire Fox Terrier,Ch. Conejo Wycollar Boy,Mrs. Roy A. Rainey
11,1918,Bull Terrier (White),Ch. Haymarket Faultless,R. H. Elliot
12,1919,Airedale Terrier,Ch. Briergate Bright Beauty,G. L. Davis
13,1920,Wire Fox Terrier,Ch. Conejo Wycollar Boy,Mrs. Roy A. Rainey
14,1921,Cocker Spaniel (Parti-Color),Ch. Midkiff Seductive,William T. Payne
15,1922,Airedale Terrier,Ch. Boxwood Barkentine,Frederic C. Hood
16,1924,Sealyham Terrier,Ch. Barberryhill Bootlegger,Bayard Warren
17,1925,Pointer,Ch. Governor Moscow,Robert F. Maloney
18,1926,Wire Fox Terrier,Ch. Signal Circuit of Halleston,Halleston Kennels
19,1927,Sealyham Terrier,Ch. Pinegrade Perfection,Frederic C. Brown
20,1928,Wire Fox Terrier,Ch. Talavera Margaret,R. M. Lewis
21,1929,Collie (Rough),Laund Loyalty of Bellhaven,Mrs. Florence B. Ilch
22,1930,Wire Fox Terrier,Ch. Pendley Calling of Blarney,John G. Bates
23,1931,Wire Fox Terrier,Ch. Pendley Calling of Blarney,John G. Bates
24,1932,Pointer,Ch. Nancolleth Markable,Giralda Farms
25,1933,Airedale Terrier,Ch. Warland Protector of Shelterock,S. M. Stewart
26,1934,Wire Fox Terrier,Ch. Flornell Spicy Bit of Halleston,Halleston Kennels
27,1935,Poodle (Standard),Ch. Nunsoe Duc de la Terrace of Blakeen,Blakeen Kennels
28,1936,Sealyham Terrier,Ch. St Margaret Mignificent of Claredale,Claredale Kennels
29,1937,Wire Fox Terrier,Ch. Flornell Spicy Piece of Halleston,Halleston Kennels
30,1938,English Setter,Daro of Maridor,Maridor Kennels
31,1939,Doberman Pinscher,Ferry v Rauhfelsen of Giralda,Giralda Farms
32,1940,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin
33,1941,Cocker Spaniel (Black),Ch. My Own Brucie,H. E. Mellenthin
34,1942,West Highland White Terrier,Ch. Wolvey Pattern of Edgerstoune,Mrs. J. G. Winant
35,1943,Poodle (Miniature),Ch. Pitter Patter of Piperscroft,Mrs. P. H. B. Frelinghuysen
36,1944,Welsh Terrier,Ch. Flornell-Rare-Bit of Twin Ponds,Mrs. Edward P. Alker
37,1945,Scottish Terrier,Ch. Shieling’s Signature,Mr. & Mrs. T. H. Snethen
38,1946,Wire Fox Terrier,Ch. Heatherington Model Rhythm,"Mr. & Mrs. T. H. Carruthers, III"
39,1947,Boxer,Ch. Warlord of Mazelaine,"Mr. & Mrs. Richard C. Kettles, Jr."
40,1948,Bedlington Terrier,Ch. Rock Ridge Night Rocket,Mr. & Mrs. William A. Rockefeller
41,1949,Boxer,Ch. Mazelaine Zazarac Brandy,Mr. & Mrs. John Phelps Wagner
42,1950,Scottish Terrier,Ch. Walsing Winning Trick of Edgerstoune,Mrs. J.G. Winant
43,1951,Boxer,Ch. Bang Away of Sirrah Crest,Dr. & Mrs. R. C. Harris
44,1952,Doberman Pinscher,Ch. Rancho Dobe’s Storm,Mr. & Mrs. Len Carey
45,1953,Doberman Pinscher,Ch. Rancho Dobe’s Storm,Mr. & Mrs. Len Carey
46,1954,Cocker Spaniel (A.S.C.O.B.),Ch. Carmor’s Rise and Shine,Mrs. Carl E. Morgan
47,1955,Bulldog,Ch. Kippax Fearnought,"John A. Saylor, MD"
48,1956,Poodle (Toy),Ch. Wilber White Swan,Bertha Smith
49,1957,Afghan Hound,Ch. Shirkhan of Grandeur,Sunny Shay & Dorothy Chenade
50,1958,Poodle (Standard),Ch. Puttencove Promise,Puttencove Kennels
51,1959,Poodle (Miniature),Ch. Fontclair Festoon,Dunwalke Kennels
52,1960,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable
53,1961,Poodle (Toy),Ch. Cappoquin Little Sister,Miss Florence Michelson
54,1962,West Highland White Terrier,Ch. Elfinbrook Simon,Wishing Well Kennels
55,1963,English Springer Spaniel,Ch. Wakefield’s Black Knight,Mrs. W. J. S. Borie
56,1964,Whippet,Ch. Courtenay Fleetfoot of Pennyworth,Pennyworth Kennels
57,1965,Scottish Terrier,Ch. Carmichaels Fanfare,Mr. & Mrs. Charles C. Stalter
58,1966,Wire Fox Terrier,Ch. Zeloy Mooremaide’s Magic,Marion G. Bunker
59,1967,Scottish Terrier,Ch. Bardene Bingo,E. H. Stuart
60,1968,Lakeland Terrier,Ch. Stingray of Derryabah,"Mr. & Mrs. James A. Farrell, Jr."
61,1969,Skye Terrier,Ch. Glamoor Good News,W. Goodman & Mrs A Goodman
62,1970,Boxer,Ch. Arriba’s Prima Donna,Dr. & Mrs. P. Pagano & Dr. T. Fickes
63,1971,English Springer Spaniel,Ch. Chinoe’s Adamant James,Milton E..Prickett
64,1972,English Springer Spaniel,Ch. Chinoe’s Adamant James,Milton E. Prickett
65,1973,Poodle (Standard),Ch. Acadia Command Performance,Edward Jenner & Jo Ann Sering
66,1974,German Shorthaired Pointer,Ch. Gretchenhof Columbia River,Richard P. Smith
67,1975,Old English Sheepdog,Ch. Sir Lancelot of Barvan,Mr. & Mrs. R. Vanword
68,1976,Lakeland Terrier,Ch. Jo Ni’s Red Baron of Crofton,Mrs. V. K. Dickson
69,1977,Sealyham Terrier,Ch. Dersade Bobby’s Girl,Pool Forge Kennels
70,1978,Yorkshire Terrier,Ch. Cede Higgins,Barbara A. & Charles W. Switzer
71,1979,Irish Water Spaniel,Ch. Oak Tree’s Irishtocrat,Mrs. Anne E. Snelling
72,1980,Siberian Husky,Ch. Innisfree’s Sierra Cinnar,Kathleen Kanzler
73,1981,Pug,Ch. Dhandys Favorite Woodchuck,Robert A. Hauslohner
74,1982,Pekingese,Ch. St Aubrey Dragonora of Elsdon,Mrs. Anne E. Snelling
75,1983,Afghan Hound,Ch. Kabiks The Challenger,Chris & Marguerite Terrell
76,1984,Newfoundland,Ch. Seaward’s Blackbeard,"Seaward Kennels, Reg."
77,1985,Scottish Terrier,Ch. Braeburn’s Close Encounter,Sonnie & Alan Novick
78,1986,Pointer,Ch. Marjetta’s National Acclaim,Mrs. A. R. Robson & Michael Zollo
79,1987,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,S. Braunstein & J. Firestone
80,1988,Pomeranian,"Ch. Great Elms Prince Charming, II",Skip Piazza & Olga Baker
81,1989,Doberman Pinscher,Ch. Royal Tudor’s Wild As The Wind,"R. & C .Vida, B. Wilhite, A. & S. Korp"
82,1990,Pekingese,Ch. Wendessa Crown Prince,Edward B. Jenner
83,1991,Poodle (Standard),Ch. Whisperwind On A Carousel,Dr. & Mrs. Frederick Hartsock
84,1992,Wire Fox Terrier,Ch. Registry’s Lonesome Dove,Marion W. & Samuel B. Lawrence
85,1993,English Springer Spaniel,Ch. Salilyn’s Condor,"D. & R. Herzig, MD & J. Gasow"
86,1994,Norwich Terrier,Ch. Chidley Willum The Conqueror,Ruth Cooper & Patricia Lussier
87,1995,Scottish Terrier,Ch. Gaelforce Post Script,Dr. J. Kinnarney & Dr. V. Huber
88,1996,Clumber Spaniel,Ch. Clussexx Country Sunrise,Judith & Richard Zaleski
89,1997,Standard Schnauzer,Ch. Parsifal Di Casa Netzer,Rita Holloway & Gabrio Del Torre
90,1998,Norwich Terrier,Ch. Fairewood Frolic,Sandina Kennels
91,1999,Papillon,Ch. Loteki Supernatural Being,John Oulton
92,2000,English Springer Spaniel,Ch. Salilyn ‘N Erin’s Shameless,"C. Blain, F. Sunseri & J. Gasow"
93,2001,Bichon Frise,Ch. Special Times Just Right,"C. Ruggles, E. McDonald, F. Werneck"
94,2002,Poodle (Miniature),Ch. Surrey Spice Girl,Ron L. Scott & Barbara Scott
95,2003,Kerry Blue Terrier,Ch. Torums Scarf Michael,Marilu Hansen
96,2004,Newfoundland,Ch. Darbydale’s All Rise Pouch Cove,Peggy Helming & Carol Bernard Bergmann
97,2005,German Shorthaired Pointer,Ch. Kan-Point’s VJK Autumn Roses,L. & R. Stark & C. Cronk & V. Nunes-Atkinson
98,2006,Bull Terrier (Colored),Ch. Rocky Top’s Sundance Kid,Barbara Bishop & W. F. Poole & N. Shepherd & R. P. Pool & Dorothy Cherry
99,2007,English Springer Spaniel,Ch. Felicity’s Diamond Jim,Teresa Patton & Allen Patton & R. Dehmel & D. Hadsall
100,2008,Beagle (15 Inch),Ch. K-Run’s Park Me In First,Caroline Dowell & Eddie Dziuk & Jon Woodring & Kathy Weichert
101,2009,Sussex Spaniel,Ch. Clussexx Three D Grinchy Glee,Cecilia Ruggles & Beth Dowd & Scott Sommer
102,2010,Scottish Terrier,Ch. Roundtown Mercedes Of Maryscot,Amelia Musser
103,2011,Scottish Deerhound,GCH. Foxcliffe Hickory Wind,Sally Sweatt & Cecilia L. Dove & Dr. R. Scott Dove
104,2012,Pekingese,GCH. Palacegarden Malachy,Iris Love & S. Middlebrooks & D. Fitzpatrick
105,2013,Affenpinscher,GCH. Banana Joe V Tani Kazari,Zoila Truesdale & Mieke Cooymans
106,2014,Wire Fox Terrier,GCH. Afterall Painting The Sky,"Victor Malzoni, Jr. & Torie Steele & S. & M. Olund & D. Ryan"
107,2015,Beagle (15 Inch),Ch. Tashtins Lookin For Trouble,Eddie Dziuk & Lori Crandlemire & Kaitlyn Crandlemire
108,2016,German Shorthaired Pointer,GCH Vjk-Myst Garbonita’s California Journey,Valerie Nunes-Atkinson & Alice Manning & Yvonne Hassler-Deterding
109,2017,German Shepherd Dog,GCH Lockenhaus’ Rumor Has It V Kenlyn,Deborah Stern & Pamela Buckles & Patti Dukeman & Pamela McElheney & Kent Boyles
110,2018,Bichon Frise,GCHP  Belle Creek’s All I Care About Is Love,Patrina & Bruce Odette & Lindsay Van Keuren & Lorrie Carlton & Larry Letsche DVM
111,2019,Wire Fox Terrier,GCHB CH King Arthur Van Foliny Home,Victor Malzoni Jr
112,2020,Standard Poodle,GCHP CH Stone Run Afternoon Tea,Connie S Unger & William Lee
113,2021,Pekingese,GCHG CH Pequest Wasabi,Sandra Middlebrooks & Peggy Steinman & Iris Love & D Fitzpatrick
114,2022,Bloodhound,GCHB Flessner's Toot My Own Horn,Chris & Bryan Flessner & Heather Helmer & Tina Kocar 
115,2023,Petit Basset Griffon Vendeen,CH Soletrader Buddy Holly,Janice Hayes & Lizzie Cadmore & Cathy Oneill & Donna Moore
